,Date,Position,Trend,Title,Artist,Streams,Icon_URL,Spotify_URL
0,2017-05-21,1,Flat,Despacito - Remix,Luis Fonsi,6964704,https://i.scdn.co/image/ab67616d00004851d8559d0280ffe2a2af6dacdf,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
1,2017-05-21,2,Flat,I'm the One,DJ Khaled,5044417,https://i.scdn.co/image/ab67616d0000485150cae4dacd5b66ee13051f09,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
2,2017-05-21,3,Flat,Shape of You,Ed Sheeran,4053578,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
3,2017-05-21,4,Flat,HUMBLE.,Kendrick Lamar,3610257,https://i.scdn.co/image/ae1f239b41e9604a66eb900834c6887cd2f62ff1,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
4,2017-05-21,5,Flat,Mask Off,Future,2893598,https://i.scdn.co/image/ab67616d00004851356884f85665ebdd79223fdf,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
5,2017-05-21,6,Flat,There's Nothing Holdin' Me Back,Shawn Mendes,2891085,https://i.scdn.co/image/ab67616d00004851f9cbd0c07513a7232cd6b9a7,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
6,2017-05-21,7,Flat,Stay (with Alessia Cara),Zedd,2810185,https://i.scdn.co/image/ab67616d0000485191a70f95efc3400f696e89cc,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
7,2017-05-21,8,Flat,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2734602,https://i.scdn.co/image/ab67616d000048519d6522bee68370fa5592301d,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
8,2017-05-21,9,Up,It Ain't Me (with Selena Gomez),Kygo,2709009,https://i.scdn.co/image/ab67616d0000485141f289940f2e6a0d51988d77,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
9,2017-05-21,10,Down,Despacito (Featuring Daddy Yankee),Luis Fonsi,2689035,https://i.scdn.co/image/ab67616d00004851a5971936e3b8d91f8b616b17,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
10,2017-05-21,11,Flat,Bad Liar,Selena Gomez,2644092,https://i.scdn.co/image/ab67616d00004851f40c5ecb3d327a55e8aa6714,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
11,2017-05-21,12,Up,Attention,Charlie Puth,2614317,https://i.scdn.co/image/ab67616d00004851db21a273452f0637cdbc35aa,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
12,2017-05-21,13,Up,That's What I Like,Bruno Mars,2595437,https://i.scdn.co/image/ab67616d00004851232711f7d66a1e19e89e28c5,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
13,2017-05-21,14,Down,Malibu,Miley Cyrus,2580155,https://i.scdn.co/image/ab67616d000048512fe7eac044c3912f06432f22,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
14,2017-05-21,15,Down,Something Just Like This,The Chainsmokers,2574421,https://i.scdn.co/image/ab67616d000048510c13d3d5a503c84fcc60ae94,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
15,2017-05-21,16,Flat,Symphony (feat. Zara Larsson),Clean Bandit,2559441,https://i.scdn.co/image/ab67616d000048515b1130d050c4cd2295999d85,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
16,2017-05-21,17,Up,Sign of the Times,Harry Styles,2302379,https://i.scdn.co/image/ab67616d000048516c619c39c853f8b1d67b7859,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
17,2017-05-21,18,Flat,Unforgettable,French Montana,2293640,https://i.scdn.co/image/ab67616d00004851482e95a6c610468cddf011da,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
18,2017-05-21,19,Down,Felices los 4,Maluma,2267618,https://i.scdn.co/image/ab67616d00004851d9732b592276542ecafa6c6d,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
19,2017-05-21,20,Up,XO TOUR Llif3,Lil Uzi Vert,2172074,https://i.scdn.co/image/ab67616d0000485115531ec8568373f631db9786,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
20,2017-05-21,21,Down,Passionfruit,Drake,2106695,https://i.scdn.co/image/ab67616d000048515ea859dc94365abd9fd84fd6,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
21,2017-05-21,22,Down,First Time,Kygo,2071593,https://i.scdn.co/image/ab67616d00004851b6d86ca196b697ee0f640118,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
22,2017-05-21,23,Flat,Thunder,Imagine Dragons,1996994,https://i.scdn.co/image/ab67616d00004851ffc368984dacb8a4d8fed5a6,https://open.spotify.com/track/56lBX2WHqfGuoeZxZvUnVj
23,2017-05-21,24,Up,Issues,Julia Michaels,1774816,https://i.scdn.co/image/ab67616d000048519615e35e0e9e4b2c3dccb520,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
24,2017-05-21,25,Up,No Promises (feat. Demi Lovato),Cheat Codes,1762458,https://i.scdn.co/image/ab67616d00004851e74ecdb2f1316c8f026970a8,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
25,2017-05-21,26,Up,Galway Girl,Ed Sheeran,1757600,https://i.scdn.co/image/ab67616d00004851ba5db46f4b838ef6027e6f96,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
26,2017-05-21,27,Down,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,1755479,https://i.scdn.co/image/ab67616d000048515640c17778d716bd35f45b3e,https://open.spotify.com/track/39IsH7B5byx8NRlEKlZVg9
27,2017-05-21,28,Down,SUBEME LA RADIO,Enrique Iglesias,1752009,https://i.scdn.co/image/ab67616d000048515366ff028970205a29d558ed,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
28,2017-05-21,29,Up,1-800-273-8255,Logic,1746404,https://i.scdn.co/image/08f9ccb7875a87c07c79c1ccd5319263786c55ea,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
29,2017-05-21,30,Flat,Slide (feat. Frank Ocean & Migos),Calvin Harris,1728439,https://i.scdn.co/image/ab67616d000048511e439ac0ed08d612808f7122,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
30,2017-05-21,31,Down,DNA.,Kendrick Lamar,1707527,https://i.scdn.co/image/ae1f239b41e9604a66eb900834c6887cd2f62ff1,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
31,2017-05-21,32,Flat,Me Rehúso,Danny Ocean,1666509,https://i.scdn.co/image/ab67616d000048517d46593471038b38e40d59a7,https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ
